-----	M0303	M0303	M0303	-----	-----	M0302	M0302	M0302	F0404	F0404	M0302	M0302	-----	-----	-----
-----	-----	-----	-----	-----	M0302	M0302	M0302	F0404	F0405	F0404	F0404	F0404	M0303	M0302	-----
-----	-----	M0302	M0302	M0302	M0302	M0302	M0302	F0404	F0405	F0405	F0404	F0404	F0404	M0303	M0302
-----	M0302	M0302	M0302	M0302	M0301	M0301	M0302	M0302	M0302	M0302	M0303	M0303	F0404	F0404	M0303
M0302	M0303	M0303	M0302	M0301	M0301	P0200	P0200	P0200	M0301	M0302	M0302	M0303	M0303	M0303	M0303
M0303	P0203	P0203	M0303	M0300	P0200	P0200	P0200	P0200	W0200	W0200	W0200	M0303	M0303	M0303	M0303
M0303	P0203	M0303	M0303	M0300	W0200	W0200	W0200	W0200	W0100	W0200	M0301	M0303	M0303	M0303	M0303
M0303	M0303	M0303	M0303	W0200	W0100	W0100	W0100	W0100	W0100	W0200	M0301	M0303	M0303	M0303	M0303
M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303
M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303	M0303
M0303	M0303	M0303	M0303	M03002	W02002	W01002	W01002	W01002	W01002	W01002	W02002	M0303	M0303	P0203	M0303
M0303	M0303	M03022	M03022	M03002	W02002	W02002	W02002	W02002	W02002	W01002	W02002	M0303	P0203	P0203	M0303
M03022	M03022	M03022	M03022	M03012	M03002	M03002	M03002	M03002	W02002	W02002	M03022	M0303	P0203	M0303	M0303
-----	M03022	M03022	M03012	M03012	M03012	-----	M03002	M03012	F04012	M03022	M03022	M0303	M0303	M03022	-----
-----	M03012	M03012	F04012	F04012	M03012	M03012	M03012	-----	M03012	M03022	M03022	M03022	M03022	M03022	-----
-----	-----	-----	-----	-----	-----	-----	M03012	F04012	F04012	M03012	M03012	M03022	M03022	-----	-----
