-----	-----	-----	-----	N0208	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	N0208	N0208	N0208
-----	-----	-----	-----	N0208	-----	-----	-----	-----	-----	-----	-----	N0204	N0204	N0205	N0206	N0207	N0208	P0108	N0208
-----	-----	-----	-----	N0208	-----	-----	-----	-----	-----	-----	-----	N0204	N0204	-----	-----	-----	N0208	N0208	N0208
-----	-----	-----	-----	N0207	-----	-----	N0204	N0204	N0204	N0204	-----	N0204	-----	-----	-----	-----	-----	N0208	-----
-----	N0208	-----	N0207	N0206	N0205	N0204	W0204	W0204	W0204	W0204	N0204	N0204	N0203	N0202	-----	-----	-----	-----	-----
N0208	N0208	N0208	W0207	W0206	W0205	W0204	W0204	N0204	N0204	W0204	W0204	W0204	W0203	W0202	N0201	N0200	N0200	N0200	-----
N0208	W0209	W0208	W0207	N0206	N0205	N0204	N0204	-----	-----	N0204	N0204	N0204	N0203	W0202	W0201	W0200	W0201	N0200	N0200
N0208	N0208	N0208	N0207	-----	-----	N0203	-----	-----	-----	-----	-----	-----	-----	N0202	N0201	N0200	N0200	N0200	-----
-----	-----	-----	-----	-----	N0202	N0202	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
-----	-----	-----	N0200	-----	N0201	-----	-----	N0200	P0100	N0200	-----	-----	-----	-----	-----	-----	-----	-----	-----
-----	-----	N0200	N0200	N0200	N0200	N0200	N0200	N0200	P0100	N0200	-----	-----	-----	-----	-----	-----	-----	-----	-----
-----	-----	N0200	P0100	P0100	P0100	P0100	P0100	P0100	P0100	N0200	-----	-----	-----	-----	-----	-----	-----	-----	-----
-----	-----	-----	N0200	N0200	N0200	N0200	N0200	N0200	N0200	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----
