Script#1-3				
*	BG	City		
*	BGM	BGM_Solve		
blank	-	황궁 별관의 포위망을 뚫자, 바깥의 경계는 허술했다.^포위망이 뚫릴 것이라고는 예상하지 못했던 건가.
lucius	-	핀토스 공작, 무사하십니까.	
reina	-	그런대로요.
blank	-	잠시나마 위기를 함께 넘긴 사이. 저 사람의 원한은 조금이라도 수그러들었을까?
blank	-	서로의 말투는 어느 새 경어로 바뀌어 있었다.
reina	-	아까는 사람 취급도 안 하시더니, 지금은 걱정씩이나 해 주시네요?	
lucius	-	……일시적이라 한들 동맹은 동맹.^그렇다면 당신이 어떤 사람이든 안위에 주의를 기울이는 것은 당연합니다.	
reina	-	(참 어이없는 원칙주의자시군…….^뭐, 황제와 몇 년을 대립하고도 그를 믿을 만큼 바보니까.)	
reina	-	그 동맹도 이제 끝났지만 말이죠. 어쨌든 협조해 줘서 고마워요.	
lucius	-	어디로 갈 생각입니까?	
reina	-	그걸 제가 알려드릴 이유는 없지만, 그 대신 ‘동맹’으로서 다른 걸 하나 알려드리겠어요.	
*	Glos	루시안 하스켈1
reina	-	<color=red>루시안 하스켈의 일</color>, 그건 고의가 아니었어요.	
reina	-	하지만 제대로 관리하지 못한 건 제가 부족한 탓이기도 하지요.^핀토스 가문의 대표로서, 사과의 말씀을 드립니다.
lucius	surprised	고의가 아니라고? 그건 대체 무슨 뜻……
blank	-	이걸로 빚은 갚았다. 더 이상 볼 일은 없겠지.
reina	-	그럼 이만.
blank	-	뒤돌아 그와 헤어지며, 손을 펴고 핀토스를 상징하는 반지의 수정을 가만히 바라보았다.
reina	-	(일단 안전한 장소를 찾아가자. 그리고……^반드시 내 손으로 가문을 재건하겠어.)
*	Era
