NameInCode	InitPosotionX	InitPositionY	InitDirection	
asterCavalry01	12	19	LeftDown	0
asterCavalry01	13	18	LeftDown	0
asterCavalry01	14	18	LeftDown	0
asterCavalry01	3	21	LeftDown	0
asterCavalry01	4	21	LeftDown	0
asterArcher02	12	20	LeftDown	0
asterArcher02	13	20	LeftDown	0
asterArcher02	4	23	LeftDown	0
elvenTribe01	4	6	RightUp	0
elvenTribe01	6	6	RightUp	0
elvenTribe01	11	6	RightUp	0
elvenTribe01	13	6	RightUp	0
elvenTribe01	14	6	RightUp	0
elvenArcher01	5	4	RightUp	0
elvenArcher01	7	4	RightUp	0
elvenArcher01	11	3	RightUp	0
elvenArcher01	12	4	RightUp	0
elvenArcher01	13	3	RightUp	0
elvenElementalist01	8	5	RightUp	0
tree	2	18	RightUp	0
tree	1	16	RightUp	0
tree	3	14	RightUp	0
tree	2	10	RightUp	0
tree	1	9	RightUp	0
tree	3	9	RightUp	0
tree	2	7	RightUp	0
tree	2	5	RightUp	0
tree	3	3	RightUp	0
tree	6	1	RightUp	0
tree	10	11	RightUp	0
tree	16	11	RightUp	0
tree	16	8	RightUp	0
tree	15	5	RightUp	0
PCtriana	3	12	LeftDown	0
PCjson	5	12	LeftUp	0
