N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	N0300	N0300	N0300	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	N0300	N0201	N0300	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	N0201	W0201	N0201	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0201	W0201	W0201	W0201	N0201	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	N0201	W0201	N0201	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	N0300	N0201	N0300	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	N0300	N0300	N0300	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	N0300	N0300	N0300	N0300	N0300
N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300
N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0201	N0300	N0300	N0300
M0400	M0400	M0400	M0400	M0400	M0400	M0400	N0300	N0300	N0300	N0201	W0201	N0201	N0300	N0300
N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0201	W0201	W0201	W0201	N0201	N0300
M0400	M0400	M0400	M0400	M0400	M0400	M0400	N0300	N0300	N0300	N0201	W0201	N0201	N0300	N0300
N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0201	N0300	N0300	N0300
N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	N0300	N0300	N0300	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
P0500	P0500	P0500	P0500	P0500	P0500	P0500	P0500	N0300	N0300	M0400	N0300	M0400	N0300	N0300
