M0200	M0200	M0200	M0201	W0400	M0202	M0202	M0200	M0200	W0400	M0201	M0201	M0201
M0202	F0102	M0201	M0201	M0201	M0200	M0200	M0200	M0202	M0200	W0400	W0400	W0400
W0400	M0202	M0201	M0201	M0201	W0400	W0400	M0202	F0102	M0202	M0201	M0201	M0201
M0201	M0201	M0201	M0200	W0400	W0400	M0201	M0202	M0202	M0200	W0400	W0400	M0201
M0201	M0201	M0201	W0400	W0400	W0400	M0201	M0201	M0200	M0200	M0200	M0200	M0200
M0201	M0201	M0201	W0400	M0202	M0202	M0200	M0200	M0200	M0200	M0200	M0202	M0201
W0400	W0400	M0200	M0200	M0202	W0400	M0200	M0200	M0200	M0200	M0202	F0102	M0201
W0400	W0400	W0400	M0200	M0200	W0400	M0202	M0202	M0201	W0400	M0200	M0202	M0201
W0300	M0201	M0201	M0201	M0200	M0200	W0400	M0202	M0201	W0400	W0400	M0201	M0201
W0200	W0300	M0201	M0200	M0200	M0200	M0201	W0400	W0400	M0202	M0202	W0400	W0400
W0200	W0300	M0200	F0102	M0202	M0200	M0200	M0200	M0201	F0102	M0202	W0400	M0200
W0300	W0300	W0300	M0202	M0202	W0401	M0200	M0200	W0400	M0201	M0201	W0400	M0200
M0201	M0201	W0300	W0300	W0401	W0401	M0200	M0202	M0202	W0400	M0202	M0202	W0400
M0201	M0201	W0400	W0300	W0300	W0300	M0200	W0400	M0202	W0400	W0400	W0400	W0300
W0400	W0400	M0202	M0202	W0401	W0300	W0300	W0300	W0400	M0200	M0200	M0201	W0300
M0202	W0400	W0400	M0202	W0401	M0201	M0200	W0300	W0300	W0300	M0201	W0300	W0200
W0401	M0202	M0200	W0400	M0201	M0200	W0400	M0202	W0300	W0200	W0200	W0200	W0200
M0202	M0200	M0200	M0200	M0200	M0200	W0400	W0401	M0202	W0200	W0200	W0200	M0200
M0200	W0401	M0202	M0202	M0200	M0200	M0200	M0201	W0401	M0201	W0200	W0300	M0200
M0200	W0401	M0201	M0202	M0200	M0200	M0200	M0201	M0201	W0200	W0300	W0400	M0201
M0200	W0401	W0401	M0200	M0200	W0400	W0400	M0202	W0400	W0200	W0300	M0201	M0201
M0200	M0200	M0200	M0200	M0200	M0201	M0201	M0202	M0200	W0200	W0400	M0201	W0400
