P0100	P0100	P0100	P0100	P0100	P0100	P0100	P0100	P0100
P0100	P0100	P0100	P0100	P0100	P0900	P0900	P0900	P0100
P0100	P0100	P0100	P0100	P0900	P0900	P0900	P0900	P0100
P0100	P0100	P0100	P0100	P0900	P0900	P0900	P0900	P0100
P0100	P0100	P0100	P0100	P0900	P0900	P0900	P0900	P0100
P0100	P0100	P0100	P0900	P0900	P0900	P0100	P0100	P0100
P0100	P0100	P0100	P0900	P0900	P0100	P0100	P0100	P0100
P0100	P0900	P0100	P0100	P0100	P0100	P0100	P0100	P0100
P0100	P0900	P0100	P0100	P0100	P0100	P0100	P0100	P0100
P0100	P0100	P0100	P0100	P0100	P0100	P0100	P0100	P0100
P0100	P0100	P0100	P0100	P0100	P0900	P0900	P0900	P0900
P0100	P0100	N0200	N0100	N0100	N0100	P0900	P0900	P0900
P0100	P0100	N0200	N0100	N0100	N0100	P0900	P0900	P0900
P0100	P0100	N0200	N0100	N0100	N0100	N0200	P0100	P0100
P0100	P0100	N0200	N0100	N0100	N0100	N0200	P0100	P0100
P0100	P0100	N0200	N0100	N0100	N0100	N0200	P0100	P0100
