NameInCode	Side	BaseHealth	BasePower	BaseDefense	BaseResistance	BaseAgility	UnitClass	Element	IsObject	IsNamed		
asterHeavySword	Enemy	697	107	142	142	48	Melee	Plant	FALSE	FALSE		
noel	Enemy	826	127	97	209	67	Magic	Water	FALSE	TRUE		
sepia	Enemy	1039	156	187	120	63	Melee	Fire	FALSE	TRUE		
grenev	Enemy	658	239	52	52	67	Melee	Plant	FALSE	TRUE		
arcadia	Enemy	962	140	164	164	56	Magic	Plant	FALSE	TRUE		
darkenir	Enemy	766	214	52	187	56	Magic	Water	FALSE	TRUE		
bianca	Enemy	766	174	120	142	77	Magic	Metal	FALSE	TRUE		
schmidt	Ally	834	138	120	75	60	Melee	Fire	FALSE	TRUE		
rackSword	Neutral	600	0	0	0	0	None	None	TRUE	FALSE		
armorSchmidt	Ally	1200	0	100	100	0	None	None	TRUE	FALSE		
fireplace	Neutral	9999	0	0	0	0	None	None	TRUE	FALSE	size	1/2
sofaSchmidt	Neutral	300	0	0	0	0	None	None	TRUE	FALSE		
bookshelf	Neutral	500	0	0	0	0	None	None	TRUE	FALSE		
tableSchmidt	Neutral	500	0	0	0	0	None	None	TRUE	FALSE	size	1/2
teaTable	Neutral	300	0	0	0	0	None	None	TRUE	FALSE		
armorTrigger01	Neutral	200	0	0	0	0	None	None	TRUE	FALSE	Collectable
armorTrigger02	Neutral	200	0	0	0	0	None	None	TRUE	FALSE	Collectable		
armorTrigger03	Neutral	200	0	0	0	0	None	None	TRUE	FALSE	Collectable		
armorTrigger04	Neutral	200	0	0	0	0	None	None	TRUE	FALSE	Collectable		
armorTrigger05	Neutral	200	0	0	0	0	None	None	TRUE	FALSE	Collectable		
