NameInCode	InitPosotionX	InitPositionY	InitDirection	
unitySwordman	9	14	RightDown	0
unitySwordman	7	13	LeftDown	0
unitySwordman	2	12	RightDown	0
unitySwordman	8	11	RightUp	0
unitySwordman	12	11	RightUp	0
unitySwordman	13	11	RightUp	0
unitySwordman	12	10	LeftDown	0
unitySwordman	8	9	LeftDown	0
unitySwordman	9	9	LeftDown	0
unitySwordman	14	7	LeftDown	0
unitySwordman	15	7	LeftDown	0
unitySwordman	3	5	RightUp	0
unitySwordman	8	5	RightUp	0
asterArcher02	6	13	LeftDown	0
asterArcher02	15	12	LeftUp	0
asterArcher02	3	11	RightDown	0
asterArcher02	7	11	RightUp	0
asterArcher02	15	11	LeftUp	0
asterArcher02	16	10	LeftDown	0
asterArcher02	13	9	LeftDown	0
asterArcher02	11	7	RightUp	0
asterArcher02	10	6	RightUp	0
asterArcher02	3	4	RightUp	0
asterArcher02	7	4	RightUp	0
asterTent	12	15	LeftDown	0
asterTent	13	15	LeftDown	0
asterTent	14	15	LeftDown	0
asterTent	6	14	LeftDown	0
asterTent	7	14	LeftDown	0
asterTent	8	14	LeftDown	0
asterTent	16	12	LeftUp	0
asterTent	16	11	LeftUp	0
asterTent	9	11	LeftUp	0
asterTent	7	10	RightUp	0
asterTent	8	10	RightUp	0
asterTent	9	10	RightUp	0
asterTent	13	10	LeftDown	0
asterTent	15	9	LeftDown	0
asterTent	4	3	RightUp	0
asterTent	5	3	RightUp	0
asterTent	6	3	RightUp	0
eichmann	5	4	RightUp	0
PCjson	12	14	LeftDown	0
PCtriana	13	13	LeftDown	0
selected	13	3	RightUp	0
selected	14	3	RightUp	0
selected	15	3	RightUp	0
