Script#48
*	BG	City
*	BGM	BGM_Urgent

karldrich	-	이 자식들은 대체 뭐야?
blank	-	폭탄 파편으로 너절해진 시체는 원래 형태가 무엇인지조차 알아보기 어려울 정도였다.
ratice	-	이, 이렇게까지 하다니……!
blank	-	예상치 못한 폭발에 다친 사람은 있었지만, 그렇다고 당해줄 만한 규모의 습격도 아니었다.
curi	-	우윽…….
blank	-	꼬마는 오만상을 찌푸리고 있다. 토하지 않은 게 용하구만.
yeong	-	전장에서 목숨을 거는 사람들조차 살아서 돌아가는 것을 첫 번째 목표로 둡니다. 처음부터 죽을 작정으로 공격해 오다니, 대체 무슨 생각을…….
karldrich	-	수사관 양반, 조직에서 대체 무슨 일이 벌어지고 있는 거야?
ratice	-	수사관……? 아, 넌 그쪽이 더 익숙하겠군.
karldrich	-	이 자식들, 뮤를 신봉하는 자들의 표어를 알고 있었어. 우린 조직과 협력 관계가 아니었나?
json	-	잠깐, 성급하게 판단하지 마라. 일단 이야기를 들어보도록 하지.
*	BGM	BGM_Normal
ratice	-	……더는 숨길 수 없겠군요.
blank	-	그는 눈을 감고 이마에 손을 짚은 채 한숨을 쉬었다. 저 버릇은 나를 취조하던 때와 똑같군.
ratice	-	모든 지성체를 압제로부터 해방하기 위한 국제 조직, 인터내셔널은 지금 크게 두 파로 나뉘어 있습니다.
ratice	-	현 수뇌부가 추진하는 계획대로 자바 연방을 도와 제국을 무너뜨리는 것이 우선이라는 친연방파가 주류.
ratice	-	그리고, "연방 역시 은폐된 계급제도일 뿐이므로 그 방침에는 찬성할 수 없다"는 무정부파가 비주류지만 일부를 차지하고 있죠.
blank	-	난 소규모 지부에서만 활동해서 이런 사정까지는 몰랐던 건가.
karldrich	-	그래서 방금 그 또라이들은 비주류 무정부파고 조직은 여전히 우리와 협력할 생각이 있다, 그런 의미로 받아들이면 되는 건가?
lenien	-	잠깐. 그보다 더 중요한 문제가 있어요.
lenien	-	……수뇌부, 즉 친연방파는 제국을 몰아낸 뒤에 어떻게 할 생각인 거죠?
blank	-	그러나 질문에 돌아온 것은 대답 대신 또 다른 질문이었다.
ratice	-	유니티 제국과 자바 연방 공화국의 가장 큰 차이가 뭐라고 생각하십니까?
karldrich	-	가장 큰 차이라고? 당장 떠오르는 차이점만 해도 한두 가지가 아닌데?
reina	-	자바 연방 공화국은 "마법"이라는 개념을 뛰어난 술사의 주문보다는 대중이 사용할 수 있는 기술의 측면에 집중하는 경향이 있죠.
reina	-	물론 제국도 그걸 따라가려고 하고 있지만.
blank	-	별로 마음에 들지는 않는다는 투였다. 뭐, 자기네 가문이 강력한 술사로서 여태껏 해먹었으니 당연하겠지.
ratice	-	그것도 맞지만, 본질적인 건 아닙니다.
blank	-	그는 잠시 뜸을 들인 후 말을 이었다.
ratice	-	선거. 정기적으로 발생하는, 평화적 체제 변혁의 가능성입니다.
lenien	-	하지만 어차피 죄다 별 생각도 없이……
ratice	-	맞아요. 
karldrich	-	뭐라고?!
ratice	-	대중 조작에 의해 선거는 형식적인 것으로 전락했습니다. 하지만 제국은 그 가능성조차 없지 않나요?
blank	-	머리를 한 대 얻어맞은 듯한 충격.
karldrich	-	무슨 소리야, 연방은 제국과 달리 자유로운 인민들의 선택으로 지도자를 결정한다고 들었는데!
blank	-	알고 있다. 그 말을 한 사람은 진실을 말한다고 믿을 만한 사람이라는 것쯤은.
yeong	-	…….
ratice	-	제국에서, 압제자는 자신이 만든 규칙에 의해 죽을 때까지 군림할 것이 보장됩니다.
ratice	-	그 다음에는 그가 선택한 사람, 주로 그 자식이 새로운 압제자가 되죠.
curi	-	그럼, 제국이나 연방이나 비슷한 건가요?
ratice	-	제국이 무너지면, 압제의 완전무결한 자기재생산을 힘으로 멈추면, 그래서 그 땅에도 형식적으로나마 민주주의가 정착되면.
ratice	-	그 때부터는 무기를 내려놓아도 돼. 진실과 거짓, 자유와 압제를 구분하는 눈을 뜰 수 있도록, 민중 계몽으로 방향이 바뀔 거야.
ratice	-	……누구도, 피를 흘리지 않아도 돼.
eren	-	터무니없이 낙관적이군. 그 말에는 두 가지 불가능한 전제가 필요하다.
blank	-	정체불명의 재수없는 꼬마는 명백히 내려다보는 투로, 비릿한 웃음을 지으며 끼어들었다.
eren	-	첫째, 민중 따위를 계몽한다는 건 불가능해. 넌 지나가는 개새끼가 사람과 대화하도록 만들 수 있다고 생각하나?
ratice	-	개, 라고?
eren	-	둘째, 권력의 속성은 어딜 가든 마찬가지지.
eren	-	그럴 리 없겠지만 설령 그 민중 계몽이라는 게 효과가 있다고 치자. 그래서 그게 권력을 위협한다면, 놈들이 가만히 앉아서 내버려둘까?
eren	-	정말로 더 이상 피를 흘리지 않게 될 거라고 생각하나?
ratice	-	……말이 통할 것 같지 않군.
eren	-	그래. 다른 눈으로 세계를 보는 자들은, 결코 서로를 이해할 수 없다. 세계를 구성하는 공리부터가 다르니까.
eren	-	네가 이른바 계몽이라는 걸 시도한다면 똑같은 벽에 가로막혀 좌절하겠지.
blank	-	두 사람은 서로를 "쳐다본다"와 "노려본다"의 중간쯤 되는 분위기로 응시하고 있었다.
eugene	-	자자, 길거리에서 골치아픈 이야기를 너무 오래 했다고 생각하지 않아? 일단 우리는 열병식에 가기로 했으니 말이지.

*	Script	Scene#25-1
