NameInCode	InitPosotionX	InitPositionY	InitDirection	
reina	1	10	RightDown	0
lenien	1	8	RightDown	0
streetLamp	3	3	LeftDown	0
streetLamp	3	9	LeftDown	0
streetLamp	3	15	LeftDown	0
streetLamp	9	3	LeftDown	0
streetLamp	9	9	LeftDown	0
streetLamp	9	15	LeftDown	0
streetLamp	15	3	LeftDown	0
streetLamp	15	9	LeftDown	0
streetLamp	15	15	LeftDown	0
selected	17	16	LeftUp	0
selected	18	16	LeftUp	0
selected	19	16	LeftUp	0
selected	18	15	LeftUp	0
selected	19	15	LeftUp	0
selected	19	14	LeftUp	0
selected	17	2	LeftUp	0
selected	18	2	LeftUp	0
selected	19	2	LeftUp	0
selected	18	3	LeftUp	0
selected	19	3	LeftUp	0
selected	19	4	LeftUp	0
