-----	-----	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405
-----	-----	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405	P0405
-----	-----	-----	P0405	P0404	P0403	P0402	P0401	N0200	-----	-----	-----	-----	-----	-----	-----	P0405	-----
-----	-----	-----	-----	-----	-----	N0200	N0200	N0200	N0200	N0200	N0200	N0200	N0200	-----	-----	P0404	-----
-----	-----	-----	-----	-----	N0201	N0200	N0200	N0200	N0200	N0200	N0200	N0200	N0200	N0201	-----	P0403	-----
-----	-----	-----	-----	N0200	N0200	N0200	N0200	M0100	M0100	M0100	M0100	N0200	N0200	N0200	N0200	P0402	-----
-----	N0200	N0200	N0200	N0200	N0200	N0200	M0100	F0301	F0301	F0301	F0301	M0100	N0200	N0200	N0200	P0401	-----
-----	N0200	-----	-----	N0200	N0200	N0200	M0100	F0301	F0302	F0302	F0301	M0100	N0200	N0200	N0200	N0200	-----
N0201	N0201	N0201	-----	N0200	N0200	N0200	M0100	F0301	F0301	F0301	F0301	M0100	N0200	N0200	N0200	-----	-----
N0201	N0201	N0201	N0201	N0200	N0200	N0200	N0200	M0100	M0100	M0100	M0100	N0200	N0200	N0200	N0200	-----	-----
N0201	N0201	N0201	N0201	N0200	N0200	N0200	N0200	N0201	N0201	N0201	N0201	N0200	N0200	N0200	N0200	-----	-----
N0201	N0201	N0201	N0201	N0200	N0200	N0200	N0200	N0200	N0201	N0201	N0200	N0200	N0200	N0200	N0200	-----	-----
N0201	N0201	N0201	N0201	-----	N0200	N0200	N0200	N0200	N0200	N0200	N0200	N0200	N0200	N0200	-----	-----	-----
-----	-----	N0201	N0201	-----	-----	N0200	N0200	N0200	N0200	N0200	N0200	N0200	N0200	-----	-----	-----	-----
-----	-----	N0201	N0201	N0201	N0201	N0201	N0201	N0201	-----	-----	N0200	-----	-----	-----	-----	-----	-----
-----	-----	N0201	N0201	N0201	N0201	N0201	N0201	N0201	N0201	-----	N0200	-----	-----	-----	-----	-----	-----
-----	-----	-----	-----	-----	N0201	N0201	N0201	N0201	N0201	N0200	N0200	-----	-----	-----	-----	-----	-----
-----	-----	-----	-----	-----	N0201	N0201	N0201	N0201	N0201	-----	-----	-----	-----	-----	-----	-----	-----
