Script#69
*	BG	Library
*	BGM	BGM_Sad
*	Gray
tien	-	그래, 다 죽었어! 쓸모가 없어졌다고 당신이 인증했기 때문에 살해당했다고요!!
ratice	-	거짓말. 거짓말이야! 그럴 리 없어요!!
tien	-	하지만 눈앞에 증거가 있잖아요!!
blank	-	그 아이는 심장에 구멍이 뚫린 채 꺼져가는 숨을 몰아쉬고 있었다.
tien	-	원하던 수준의 출력은 나오는 것 같더군요. 하지만 물론 그 상태로는 금방 사용자가 죽어버리니까.
tien	-	놈들은 그 해결책을 찾을 때까지 비슷한 짓을 얼마든지 반복할 거예요. 지금 이 순간도 포함해서.
blank	-	그 숨소리만큼 옅은 금발은 피에 젖어 엉망으로 엉켜 있었다.
ratice	-	살려야 해. 어떻게든…….
*	BG	Camp
*	BGM	Epic_Monarch
*	Colorful
blank	-	<color=yellow>제국력 518년 3월 18일, 북부전선, 제국군 연결 보급기지</color>
blank	-	부서진 기계 병사들에게서 흘러나온 붉은 피가 바닥에 번져가고 있었다.
ratice	-	위험하니까 그 이상 수련하지 말라고, 나는 그렇게 이야기했을 뿐인데, 모두 소모품처럼 쓰이고 죽어버렸어.
ratice	-	내가, 내가 협력해버린 거야…… 피바다 위에 쌓아올린 이 저주에.
eichmann	-	저주라고? 무슨 소리냐. 제국의 영광스러운 길을 축복하는 붉은 양탄자가 아름답지 않은가.
json	-	너 이 자식, 그걸 말이라고……!
eichmann	-	오호라? 그러고 보니 반역자 제이선도 네놈들 패거리였나. 워낙 별볼일없는 놈이라 잊어버리고 있었군.
eren	-	개자식들, 아무것도 모르는 애들을 그딴 식으로 이용하다니. 죽여버리겠어.
sepia	-	어차피 경쟁에서 밀려난 낙오자들에 지나지 않습니다. 그런 식으로나마 국가에 기여할 수 있다면 그들로서도 기뻐할 일이 아닌가요?
eichmann	-	세피아 집행관도 후배들한테 차갑구만.
ratice	-	(후배……?)
sepia	-	패배자들은 후배라고 불릴 자격이 없죠.
eichmann	-	그건 그래. 하긴, 세피아 집행관은 동기들 가운데 가장 뛰어났으니까 신경도 안 쓰겠군.
ratice	-	(설마?!)
blank	-	생각났다. 저 남자, 그리고 세피아라는 이름.
blank	-	기사 수련생들에게 진찰을 시키기 위해 종종 방문하던 사람이다. 세피아라는 이름의 아이도, 분명 몇 차례 있었다.
ratice	-	그렇다면 당신들의 정체는……!
karldrich	-	부르주아 놈들은 항상 약자들을 갈아버리면서 모두를 위한 희생이라고 말하지. 그 가면을 전부 뜯어내주마!
aron	-	크, 흐윽…… 쓰레기같은 놈들! 나를 무시하지 말란 말이다!!!
blank	-	다른 것들보다도 거대한 기체가 묵직한 발소리를 내며 이쪽으로 뛰어왔다.
curi	-	저만한 게 달릴 수 있다고?!
aron	-	레이나 핀토스! 끝을 내자! 이 자리에서 죽여주마!!
reina	-	그래, 끝을 내자고! 지긋지긋하니까!
sepia	-	아론 핀토스! 명령입니다! 후퇴하세요!
blank	-	그는 완전히 무시한 채 이쪽을 향해 성큼성큼 빠르게 거리를 좁혔다.
eichmann	-	어쩔 수 없어. 저놈을 버리고 갈 생각이 아니라면 말이지.
sepia	-	……전원 교전 준비. 무리하지 말고 주요 자료 및 물자를 빼낼 때까지 시간을 지연시키는 데 집중하도록.
lucius	-	놓치지 않는다!
ratice	-	…….
blank	-	나는 죄인이다. 내가 저지른 일에 책임을 져야 한다.
blank	-	눈앞에 있는 이들을 저지하는 것이 최소한의 속죄일 것이다.
ratice	-	(……그것이 뮤의 뜻이다. 지금은 그것밖에 없어.)
*	Battle	351
