-----	-----	-----	-----	-----	-----	-----	W0403	W0403	W0403	W0404	W0404	W0400	W0400	-----	-----
-----	-----	W0400	W0400	W0403	W0403	W0403	W0403	W0404	W0404	W0404	W0403	W0401	W0401	W0400	-----
-----	W0400	W0401	W0400	W0403	W0403	W0404	W0404	W0404	W0404	W0402	W0403	W0403	W0402	W0401	W0401
W0400	W0401	W0402	W0401	M0204	M0204	M0204	W0404	W0404	-----	W0401	W0401	W0402	W0403	W0402	W0401
W0400	W0401	W0402	W0401	-----	-----	-----	-----	-----	W0401	W0401	W0401	W0402	W0403	W0402	W0401
W0400	W0401	W0402	W0402	W0401	W0401	M0204	W0404	W0400	W0400	W0400	W0400	W0402	W0403	W0403	W0402
W0401	W0402	W0402	W0402	W0401	W0400	W0400	W0400	W0400	W0400	W0400	M0200	M0200	W0402	W0403	M0204
W0401	W0402	W0402	W0401	W0401	W0400	W0400	W0400	W0400	W0400	M0200	M0200	M0200	W0402	W0403	W0404
W0400	W0401	W0401	W0401	W0401	-----	-----	-----	-----	W0400	W0400	W0401	W0402	W0403	W0403	W0402
W0400	W0401	W0401	W0401	-----	M0204	W0404	W0404	W0404	-----	W0400	W0401	W0402	W0403	W0403	W0402
-----	W0400	W0401	W0401	M0204	M0204	W0404	W0404	W0404	W0403	W0403	W0403	W0401	W0403	W0402	W0401
-----	-----	W0400	W0402	W0404	W0404	W0404	W0403	W0403	W0403	W0403	W0403	W0402	W0402	W0401	-----
-----	-----	-----	-----	W0403	W0403	W0403	W0403	W0403	W0402	W0402	-----	-----	-----	-----	-----
