NameInCode	InitPosotionX	InitPositionY	InitDirection	
unitySwordman_Start	0	0	RightDown	0
unitySwordman	10	3	RightDown	0
stel-NormalP	14	3	LeftUp	0
unitySwordman	3	7	RightDown	0
unitySwordman	6	7	RightDown	0
stel-NormalP	10	7	RightDown	0
stel-NormalP	14	7	LeftUp	0
unitySwordman	10	11	RightDown	0
unitySwordman	14	11	LeftUp	0
stel-NormalP	10	13	RightDown	0
stel-NormalP	14	13	LeftUp	0
unitySwordman	9	23	LeftDown	0
unitySwordman	15	15	LeftUp	0
stel-NormalP	12	17	RightUp	0
stel-NormalP	12	19	RightUp	0
unitySwordman	10	21	RightUp	0
unitySwordman	14	21	RightUp	0
stel-NormalP	10	25	RightUp	0
stel-NormalP	14	26	RightUp	0
unitySwordman_Start	10	29	LeftDown	0
unitySwordman_Start	11	29	LeftDown	0
unitySwordman_Start	12	29	LeftDown	0
unitySwordman_Start	13	29	LeftDown	0
unitySwordman_Start	14	29	LeftDown	0
carriage	2	1	LeftDown	0
carriage	15	1	LeftDown	0
carriage	3	29	LeftUp	0
clothWall	1	1	LeftUp	0
clothWall	4	1	LeftUp	0
clothWall	5	1	LeftUp	0
clothWall	4	2	LeftUp	0
clothWall	4	4	LeftUp	0
clothWall	8	4	LeftUp	0
clothWall	4	5	LeftUp	0
clothWall	5	5	LeftUp	0
clothWall	7	5	LeftUp	0
clothWall	8	5	LeftUp	0
clothWall	1	13	LeftDown	0
clothWall	2	13	LeftDown	0
clothWall	7	13	LeftDown	0
clothWall	8	13	LeftDown	0
clothWall	8	14	LeftUp	0
clothWall	1	17	LeftDown	0
clothWall	2	17	LeftDown	0
clothWall	4	17	LeftDown	0
clothWall	5	17	LeftDown	0
clothWall	1	19	LeftDown	0
clothWall	2	19	LeftDown	0
clothWall	3	19	LeftDown	0
clothWall	4	19	LeftDown	0
clothWall	1	23	LeftDown	0
clothWall	2	23	LeftDown	0
clothWall	3	23	LeftDown	0
clothWall	1	25	LeftDown	0
clothWall	2	25	LeftDown	0
clothWall	3	25	LeftDown	0
clothWall	4	25	LeftDown	0
clothWall	5	25	LeftDown	0
clothWall	6	25	LeftDown	0
clothWall	7	25	LeftDown	0
clothWall	8	25	LeftDown	0
clothWall	8	26	LeftUp	0
clothWall	1	28	LeftUp	0
clothWall	1	29	LeftUp	0
freight	7	1	LeftDown	0
freight	1	3	LeftDown	0
freight	1	4	LeftDown	0
freight	2	4	LeftDown	0
freight	1	5	LeftDown	0
freight	2	5	LeftDown	0
freight	4	13	LeftDown	0
freight	5	13	LeftDown	0
freight	1	14	LeftDown	0
freight	4	14	LeftDown	0
freight	5	14	LeftDown	0
freight	1	15	LeftDown	0
freight	4	15	LeftDown	0
freight	11	15	LeftDown	0
freight	1	16	LeftDown	0
freight	11	16	LeftDown	0
freight	7	17	LeftDown	0
freight	8	19	LeftDown	0
freight	8	20	LeftDown	0
freight	13	22	LeftDown	0
freight	13	23	LeftDown	0
freight	14	23	LeftDown	0
freight	3	27	LeftDown	0
freight	3	28	LeftDown	0
freight	4	28	LeftDown	0
market3	8	1	RightDown	0
market	8	2	RightDown	0
market	8	3	RightDown	0
market2	3	9	LeftDown	0
market2	4	9	LeftDown	0
market	5	9	RightUp	0
market2	6	9	LeftDown	0
market3	2	14	RightDown	0
market	12	14	LeftUp	0
market3	2	15	RightDown	0
market3	12	15	RightDown	0
market	2	16	RightDown	0
market	8	16	RightDown	0
market3	12	16	RightDown	0
market	8	17	RightDown	0
market3	15	17	LeftUp	0
market2	15	18	LeftUp	0
market2	5	19	RightUp	0
market2	6	19	RightUp	0
market3	7	19	RightUp	0
market2	4	23	LeftDown	0
market	5	23	LeftDown	0
market	6	23	LeftDown	0
market3	7	23	LeftDown	0
market3	8	23	LeftDown	0
market	1	26	RightDown	0
market	1	27	RightDown	0
market2	8	28	RightDown	0
market	6	29	LeftDown	0
market	7	29	LeftDown	0
market2	8	29	RightDown	0
statue	9	4	RightUp	0
statue	15	4	RightUp	0
statue	2	6	RightUp	0
statue	7	6	RightUp	0
statue	2	12	LeftDown	0
statue	7	12	LeftDown	0
statue	9	14	LeftDown	0
statue	15	14	RightUp	0
statue	9	19	LeftDown	0
statue	15	19	RightUp	0
statue	3	21	RightDown	0
statue	12	9	LeftDown	0
PClucius	11	26	RightDown	0
PCkarldrich	12	28	RightDown	0
PCtien	12	27	RightDown	0
