-----	-----	P0302	P0102	P0102	P0102	P0102	P0102	P0102	P0102	P0102	P0102	-----	-----	-----	-----
-----	P0302	P0302	P0302	P0102	P0102	P0102	P0102	P0102	P0102	P0102	P0102	P0102	-----	-----	-----
P0302	P0302	P0302	P0302	P0102	P0102	P0102	P0102	P0102	P0102	P0102	P0102	P0102	P0102	-----	-----
P0302	P0302	P0302	P0302	W0201	W0201	W0201	W0201	W0201	W0201	P0102	P0102	P0102	P0102	-----	-----
P0302	P0302	P0302	P0102	W0201	W0201	W0101	W0101	W0101	W0201	W0201	P0102	P0102	P0102	P0102	-----
P0302	P0301	P0301	P0101	W0201	W0201	W0101	W0101	W0101	W0101	W0201	P0102	P0102	P0102	P0102	-----
P0301	P0301	P0101	P0101	P0101	W0201	W0101	W0101	W0101	W0101	W0201	P0102	P0102	P0102	P0102	P0102
P0301	P0301	P0101	P0101	P0101	W0201	W0101	W0101	W0101	W0201	W0201	P0101	P0102	P0102	P0102	P0102
P0301	P0101	P0101	P0101	P0101	W0201	W0101	W0101	W0101	W0201	W0201	P0101	P0101	P0102	P0102	P0102
P0301	P0101	P0101	P0101	P0101	W0201	W0101	W0101	W0101	W0201	W0201	P0101	P0101	P0102	P0102	P0102
P0301	P0101	P0101	P0101	P0101	W0201	W0101	W0101	W0101	W0201	P0101	P0101	P0101	P0101	P0102	P0102
P0101	P0101	P0101	P0101	P0101	P0101	W0201	W0201	W0201	W0201	W0201	P0101	P0101	P0101	P0102	P0102
P0101	P0101	P0101	P0101	P0101	P0101	P0101	P0101	P0101	P0101	P0101	P0300	P0300	P0300	P0300	P0102
P0301	P0100	P0100	P0100	P0100	P0101	P0101	P0101	P0100	P0300	P0300	P0300	P0300	P0300	P0300	P0300
P0300	P0300	P0300	W0200	W0200	W0200	W0200	W0200	W0200	W0200	W0200	P0300	P0300	P0300	P0300	P0300
P0300	P0300	P0300	W0200	W0200	W0100	W0100	W0100	W0100	W0100	W0100	W0200	P0300	P0300	P0300	P0300
P0300	P0300	P0300	W0200	W0200	W0100	W0100	W0100	W0100	W0100	W0100	W0200	P0300	P0300	P0300	P0300
P0300	P0300	P0300	W0200	W0200	W0100	W0100	W0100	W0200	W0200	W0200	P0300	P0300	P0300	P0300	P0300
-----	P0300	P0300	W0200	W0200	W0200	W0200	W0200	W0200	W0200	P0300	P0300	P0300	P0300	P0300	-----
-----	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	-----
-----	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	-----
-----	-----	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	-----
-----	-----	-----	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	-----	-----
-----	-----	-----	-----	-----	P0300	P0300	P0300	P0300	P0300	P0300	P0300	P0300	-----	-----	-----
