NameInCode	InitPosotionX	InitPositionY	InitDirection	
spySword	6	6	LeftUp	0
spySword	5	7	LeftUp	0
spySword	7	8	LeftUp	0
spySword	11	8	RightDown	0
spySword	12	6	RightDown	0
spySword	13	7	RightDown	0
spyLeaderSword	9	11	RightUp	0
asterArcher02	6	2	RightUp	0
asterArcher02	12	2	RightUp	0
unitySwordman	7	4	RightUp	0
unitySwordman	11	4	RightUp	0
doorJail	9	16	LeftDown	0
doorJail	2	14	LeftDown	0
doorJail	2	12	LeftDown	0
doorJail	2	10	LeftDown	0
doorJail	2	8	LeftDown	0
doorJail	16	14	LeftDown	0
doorJail	16	12	LeftDown	0
doorJail	16	10	LeftDown	0
doorJail	16	8	LeftDown	0
doorJail	4	13	LeftUp	0
doorJail	3	11	LeftUp	0
doorJail	3	9	LeftUp	0
doorJail	14	13	LeftUp	0
doorJail	15	11	LeftUp	0
doorJail	15	9	LeftUp	0
jailLever	9	15	LeftDown	0
wall	1	18	LeftDown	0
wall	2	18	LeftDown	0
wall	3	18	LeftDown	0
wall	4	18	LeftDown	0
wall	5	18	LeftDown	0
wall	6	18	LeftDown	0
wall	7	18	LeftDown	0
wall	9	18	LeftDown	0
wall	11	18	LeftDown	0
wall	12	18	LeftDown	0
wall	13	18	LeftDown	0
wall	14	18	LeftDown	0
wall	15	18	LeftDown	0
wall	16	18	LeftDown	0
wall	17	18	LeftDown	0
wall	1	1	RightDown	0
wall	1	2	RightDown	0
wall	1	3	RightDown	0
wall	1	4	RightDown	0
wall	1	5	RightDown	0
wall	1	6	RightDown	0
wall	1	7	RightDown	0
wall	1	9	RightDown	0
wall	1	11	RightDown	0
wall	1	12	RightDown	0
wall	1	13	RightDown	0
wall	1	14	RightDown	0
wall	1	15	RightDown	0
wall	1	16	RightDown	0
wall	1	17	RightDown	0
wall	7	14	RightDown	0
wall	11	14	LeftUp	0
wall	17	1	LeftUp	0
wall	17	2	LeftUp	0
wall	17	3	LeftUp	0
wall	17	4	LeftUp	0
wall	17	5	LeftUp	0
wall	17	6	LeftUp	0
wall	17	7	LeftUp	0
wall	17	8	LeftUp	0
wall	17	9	LeftUp	0
wall	17	10	LeftUp	0
wall	17	11	LeftUp	0
wall	17	12	LeftUp	0
wall	17	13	LeftUp	0
wall	17	14	LeftUp	0
wall	17	15	LeftUp	0
wall	17	16	LeftUp	0
wall	17	17	LeftUp	0
wall	3	16	LeftDown	0
wall	4	16	LeftDown	0
wall	5	16	LeftDown	0
wall	6	16	LeftDown	0
wall	7	16	LeftDown	0
wall	8	16	LeftDown	0
wall	10	16	LeftDown	0
wall	11	16	LeftDown	0
wall	12	16	LeftDown	0
wall	13	16	LeftDown	0
wall	14	16	LeftDown	0
wall	15	16	LeftDown	0
wall	7	15	RightDown	0
wall	8	15	RightDown	0
wall	10	15	LeftUp	0
wall	11	15	LeftUp	0
wall	3	14	LeftDown	0
wall	4	14	LeftDown	0
wall	5	14	LeftDown	0
wall	13	14	LeftDown	0
wall	14	14	LeftDown	0
wall	15	14	LeftDown	0
wall	3	12	LeftDown	0
wall	4	12	LeftDown	0
wall	14	12	LeftDown	0
wall	15	12	LeftDown	0
wall	3	10	LeftDown	0
wall	15	10	LeftDown	0
wall	3	8	LeftDown	0
wall	15	8	LeftDown	0
wall	3	1	LeftUp	0
wall	3	2	LeftUp	0
wall	3	3	LeftUp	0
wall	3	4	LeftUp	0
wall	3	5	LeftUp	0
wall	3	6	LeftUp	0
wall	15	1	RightDown	0
wall	15	2	RightDown	0
wall	15	3	RightDown	0
wall	15	4	RightDown	0
wall	15	5	RightDown	0
wall	15	6	RightDown	0
prisoner	2	13	RightDown	0
prisoner	2	11	RightDown	0
prisoner	2	9	RightDown	0
prisoner	16	13	LeftUp	0
prisoner	16	11	LeftUp	0
prisoner	16	9	LeftUp	0
kashasty	11	17	LeftUp	0
selected	14	1	RightUp	0
selected	14	2	RightUp	0
selected	13	1	RightUp	0
selected	5	1	RightUp	0
selected	4	1	RightUp	0
selected	4	2	RightUp	0
selected	8	1	RightUp	0
selected	9	1	RightUp	0
selected	9	2	RightUp	0
selected	10	1	RightUp	0
