stage13_script0
kashasty	surprised	다, 다들 여긴 어떻게……?!
reina	-	트리아나에 대해서 수소문이라도 해볼 생각으로 들렀죠.
yeong	-	……소득은 없을 가능성이 매우 높다고 말씀드렸습니다만.
reina	-	그래도 어차피 지나는 길이었잖아? 덕분에 지금처럼 수상한 연구의 꼬리도 잡았고.
kashasty	-	수상한 연구라면…… 레이나 경도 역시 그걸 없애려는 생각인가요?
reina	-	그 연구는 위험해. 황제가 손에 넣은 모나드와 결합하면 끔찍한 결과물이……
alchemyApprentice	-	경비병! 침입자가 창고로 갔다! 빨리 움직여!
soldier	-	침입자 발견! 증원을 불러!
eren	-	칫, 벌써 몰려왔잖아.
lenien	-	힘으로 강행돌파했는데 당연하지.
kashasty	surprised	음? 이분은 누구죠? 잠깐, 하스켈 양까지?
luvericha	-	……어쩌다 보니 잠시 신세를 지게 됐군요.
blank	-	떨떠름한 표정으로 대답하는 그는 지금 벌어지는 상황에 혼란스러워하는 것처럼 보였다.
yeong	-	자료함은 이쪽이군요. 통째로 날려버리고 빠져나가는 게 좋을 겁니다.
kashasty	surprised	아, 안 돼요!
yeong	-	……?
kashasty	surprised	이 기술은 지금은 아니더라도 평화가 찾아오면 중요한 역할을 할 거예요. 차라리 우리가 가져가죠.
yeong	-	통째로 들고 나갈 수는 없습니다. 그렇다고 우리가 느긋하게 자료함을 뒤지는 동안 저들이 기다려주진 않을 텐데요.
reina	-	해보죠. 한 명이 찾는 동안 나머지가 그 사람을 지켜주는 거예요.
eren	-	좋아. 저 상자들, 살짝만 충격을 주면 폭발할 것 같은데? 저놈들한테 꽤 재미있는 걸 보여줄 수 있을 거야.
*	Return
