S81_Start
json	-	난 너희가 누명을 썼다고 생각한다. 필요하다면 도와줄 생각도 있어.	
triana	-	…….	
json	-	(혹시 말을 할 줄 모르는 건가?)	
agent	-	집행관님.	
json	-	……심문하는 동안 되도록 방해하지 말라고 했을 텐데.^굳이 여기까지 왔다는 건 그만큼 중요한 일이겠지?	
agent	-	조금 전부터 꽤 큰 집단이 지속적으로 오간 흔적이 발견되고 있습니다.	
json	-	뭐라고?	
agent	-	발자국이 여러 겹으로 쌓인데다 숫자도 많아서 종족은 파악하기 어렵습니다만, 집단의 규모는 상당해 보입니다.	
json	-	알겠다. 알려지지 않은 괴수들의 영역일지도 모르겠군.^이 부근은 빨리 통과하도록 서두르지.	
*	BGM	BGM_Urgent		
*	SE	SeasonWind		
*	SE	Slash		
blank	-	그 말이 끝나기가 무섭게 내 앞의 부하가 쓰러졌다.	
json	-	(칫, 이미 늦었군.)	
*	Glos	요정1
blank	-	<color=red>요정</color>들이 공통적으로 가진, 자연을 다루는 이능력.^나에게는 낯익은 방식이었다.	
blank	-	안톤 부근의 광맥을 개척하는 과정에서 요정 부족을 몰아낸 적이 있다고는 들었지만, 이런 곳에 재정착했다는 사실은 알지 못했다.	
json	-	(안 그래도 제국에 대한 적개심은 엄청날 텐데 이쪽은 무장한 병력들이 전투 태세라면…… 뭐라 말한들 들을 것 같지는 않군.)
json	-	(칫, 지나가려고 했을 뿐인데 멋대로 착각하다니.)
blank	-	그들은 함성을 지르며 몰려왔다.	
json	-	자연을 다루는 이능력을 쓸 뿐, 그 외의 교전 능력은 낮은 수준이다.	
blank	-	내 동료였던 요정 아르카디아.^나는 조직 내에서 겉도는 신세라 그와 친하게 지낸 적은 없지만 그의 전투방식은 여러 차례 구경한 적 있다.	
blank	-	가장 위험한 건 한 줄기 바람으로 상대를 끌어당기는 기술.^당하면 적에게 포위당한 꼴이 되니 조심해야 한다.
json	-	아직 뒤쪽의 병사들은 우리가 공격당한지도 모를 터. 먼저 그들에게 다가가 전투 태세를 준비시켜야겠군.
json	-	트리아나 페르단트, 너도 살아남고 싶으면 조금이라도 돕지 그래?	
triana	-	…….
*	Return
